SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1627677,72832,11/14/07,N,09/20/10,2006,1360.31,595.14,0,0
1627677,72832,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627677,72832,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627677,72832,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
1627676,72833,11/14/07,N,09/20/10,2006,1360.31,595.14,0,0
1627676,72833,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627676,72833,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627676,72833,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
1627675,72834,11/14/07,N,09/20/10,2006,1360.31,595.14,0,0
1627675,72834,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627675,72834,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627675,72834,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
1627674,72835,11/14/07,N,09/20/10,2006,1360.31,595.14,0,0
1627674,72835,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627674,72835,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627674,72835,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
1627673,72836,11/14/07,N,09/20/10,2006,1360.31,595.14,0,0
1627673,72836,08/01/08,Y,09/20/10,2007,1154.51,375.22,0,0
1627673,72836,08/24/09,Y,09/20/10,2008,1153.12,201.8,0,0
1627673,72836,08/27/10,Y,09/20/10,2009,768.16,19.2,0,0
1271300,72838,11/14/07,N,12/10/07,2006,949.9,23.75,0,0
486817,72839,11/14/07,N,04/28/08,2006,141.29,10.6,0,0
390844,72840,11/14/07,N,05/19/08,2006,1190.94,104.21,0,0
569500,72841,11/14/07,N,05/28/08,2006,1891.71,165.52,0,0
753416,72842,11/14/07,N,11/29/07,2006,746.05,9.33,0,0
700126,72843,11/14/07,N,07/10/08,2006,249.71,28.09,0,0
604798,72844,11/14/07,N,01/14/08,2006,933.83,35.02,0,0
1333950,72845,11/14/07,N,11/16/07,2006,845.86,10.57,0,0
1398547,72846,11/14/07,N,07/21/08,2006,2065.81,232.4,0,0
127442,72847,11/14/07,N,05/30/08,2006,1488.17,130.21,0,0
632929,72848,11/14/07,N,04/22/08,2006,567.53,42.56,0,0
304425,72849,11/14/07,N,11/30/07,2006,74.6,0.93,0,0
83623,72850,11/14/07,N,08/29/14,2006,1777.46,1821.9,0,0
83623,72850,10/31/08,Y,08/29/14,2007,1719.27,1525.85,0,0
554812,72851,11/14/07,N,05/09/08,2006,1306.93,114.36,0,0
1184199,72852,11/14/07,N,02/28/11,2006,1077.32,538.66,0,0
1184199,72852,08/06/08,Y,02/28/11,2007,1060.46,410.93,0,0
1184199,72852,08/04/09,Y,02/28/11,2008,1054.13,250.36,0,0
1184199,72852,08/12/10,Y,02/28/11,2009,1030.93,90.21,0,0
403261,72853,11/14/07,N,12/23/09,2006,635.02,206.38,0,0
403261,72853,08/01/08,Y,12/23/09,2007,1244.43,264.44,0,0
403261,72853,08/10/09,Y,12/23/09,2008,1236.99,77.31,0,0
390232,72855,11/14/07,N,03/12/08,2006,612.68,38.29,0,0
1016997,72856,11/14/07,N,03/24/08,2006,1182.58,73.91,0,0
498912,72857,11/14/07,N,03/30/09,2006,3663.34,778.46,200,0
498912,72857,08/06/08,Y,03/30/09,2007,1851.29,185.13,0,0
56383,72858,11/14/07,N,03/30/09,2006,1773.66,376.9,0,0
56383,72858,10/23/08,Y,03/30/09,2007,2533.7,190.03,0,0
